INS_time_sec,LatAcc_obd,brake_pressure_obd,speedo_obd,SW_pos_obd,VelFR_obd,VelFL_obd,VelRR_obd,VelRL_obd,yaw_rate,Correvit_slip_angle_COG_corrvittiltcorrected,INSTimestamp_ADMA
1716990839.85,-0.675,1.909,20.875,54.863,19.950,19.550,19.650,19.450,6.400,0.959,2024-05-29 13:53:59.849999872
1716990839.87,-0.675,1.909,20.625,54.863,19.900,19.500,19.900,19.500,6.400,0.880,2024-05-29 13:53:59.869999872
1716990839.89,-0.750,1.727,20.625,55.913,19.850,19.450,19.900,19.250,6.400,0.971,2024-05-29 13:53:59.890000128
1716990839.91,-0.675,1.727,20.563,55.913,19.800,19.350,19.900,19.250,6.400,0.956,2024-05-29 13:53:59.910000128
1716990839.93,-0.675,1.727,20.563,55.913,19.750,19.350,19.900,19.250,6.400,0.913,2024-05-29 13:53:59.930000128
1716990839.95,-0.600,1.727,20.500,56.394,19.700,19.250,19.850,19.200,6.400,0.926,2024-05-29 13:53:59.950000128
1716990839.97,-0.600,1.727,20.375,56.394,19.650,19.150,19.850,19.200,6.400,0.848,2024-05-29 13:53:59.970000128
1716990839.99,-0.675,1.909,20.313,56.875,19.650,19.150,19.550,19.350,6.400,0.830,2024-05-29 13:53:59.990000128
1716990840.01,-0.675,1.909,20.313,56.875,19.550,19.100,19.550,18.900,6.400,0.881,2024-05-29 13:54:00.009999872
1716990840.03,-0.675,1.909,20.188,56.875,19.450,19.000,19.350,18.950,6.400,0.918,2024-05-29 13:54:00.029999872
1716990840.05,-0.675,1.545,20.188,56.875,19.400,18.950,19.400,19.000,6.400,0.906,2024-05-29 13:54:00.049999872
1716990840.07,-0.675,1.273,20.188,56.875,19.300,18.900,19.250,18.800,6.400,0.884,2024-05-29 13:54:00.069999872
1716990840.09,-0.600,1.273,19.938,56.875,19.250,18.850,19.250,18.800,6.400,0.875,2024-05-29 13:54:00.089999872
1716990840.11,-0.600,1.273,19.938,56.875,19.200,18.750,19.150,18.750,6.400,0.889,2024-05-29 13:54:00.109999872
1716990840.13,-0.600,1.727,19.938,56.875,19.100,18.650,19.000,18.550,6.400,0.963,2024-05-29 13:54:00.130000128
1716990840.15,-0.600,1.909,19.688,56.875,19.050,18.600,19.000,18.650,6.400,0.946,2024-05-29 13:54:00.150000128
1716990840.17,-0.600,1.909,19.688,56.875,18.950,18.500,19.050,18.500,6.400,1.022,2024-05-29 13:54:00.170000128
1716990840.19,-0.675,1.909,19.688,56.875,18.950,18.500,18.850,18.400,6.400,1.058,2024-05-29 13:54:00.190000128
1716990840.21,-0.675,1.727,19.563,56.875,18.850,18.450,18.900,18.400,6.400,1.092,2024-05-29 13:54:00.210000128
1716990840.23,-0.675,1.727,19.563,56.875,18.800,18.400,18.750,18.500,6.400,1.112,2024-05-29 13:54:00.230000128
1716990840.25,-0.675,1.545,19.563,56.394,18.750,18.350,18.900,18.300,6.400,1.091,2024-05-29 13:54:00.249999872
